,model,link,price,depreciation,reg_date,mileage,road_tax,coe,eng_cap,curb_weight,manufactured,transmission,omv,power,num_owners,type,category
4936,Honda Freed Hybrid 1.5A G,info.php?ID=951146&DL=3403,N.A ,                                N.A                            ,25-Jun-2019(8yrs 6mths 8days COE left)                            ,                                        N.A.                                     ,                                    	$682 /yr,"$35,906","1,496 cc                                    ","                                    1,430 kg                                    ",2018,Auto,"$27,381",101.0 kW (135 bhp),2,MPV,"Category
PARF Car, Hybrid Cars "
4937,Lotus Elise (COE till 08/2030),info.php?ID=933657&DL=2725,"$125,731 ","                                $12,950 /yr                            ",16-Sep-2010(9yrs 8mths 15days COE left)                            ,"                                        44,000 km (4.3k /yr)                                     ",                                    	$816 /yr,"$32,190","1,598 cc                                    ",                                    891 kg                                    ,2010,Manual,"$50,017",100.0 kW (134 bhp),1,Sports Car,"Category
COE Car, Low Mileage Car "
4938,Toyota Sienta Hybrid 1.5A X,info.php?ID=909636&DL=2952,"$80,300 ","                                $9,200 /yrView models with similar depre ",29-Nov-2018(7yrs 11mths 12days COE left)                            ,"                                        26,800 km (13.1k /yr)                                     ",                                    	$682 /yr,"$25,000","1,496 cc                                    ","                                    1,380 kg                                    ",2018,Auto,"$22,972",73.0 kW (97 bhp),1,MPV,"Category
PARF Car, Hybrid Cars "
4939,Mercedes-Benz C-Class C180K,info.php?ID=951262&DL=1005,"$33,800 ","                                $25,380 /yrView models with similar depre ",06-Sep-2011(8mths 20days COE left)                            ,"                                        126,000 km (13.6k /yr)                                     ",                                    	$742 /yr,"$48,801","1,597 cc                                    ","                                    1,500 kg                                    ",2011,Auto,"$31,019",115.0 kW (154 bhp),3,Luxury Sedan,"Category
PARF Car "
4940,Mercedes-Benz GLC-Class GLC300 Coupe Mild Hybrid AMG Line,info.php?ID=951239&DL=2010,"$258,988 ","                                $21,500 /yrView models with similar depre ",08-Dec-2020(9yrs 11mths 21days COE left)                            ,                                        652 km                                     ,                                    	N.A.,"$41,101","1,991 cc                                    ","                                    1,825 kg                                    ",2020,Auto,"$64,924",200.0 kW (268 bhp),1,SUV,"Category
PARF Car, Almost New Car, Premium Ad Car, Hybrid Cars "
4941,Nissan Sylphy 1.6A,info.php?ID=950967&DL=3712,N.A ,                                N.A                            ,27-Jun-2015(4yrs 6mths 10days COE left)                            ,                                        N.A.                                     ,                                    	$742 /yr,"$61,000","1,598 cc                                    ","                                    1,205 kg                                    ",2015,Auto,"$16,028",85.0 kW (113 bhp),1,Mid-Sized Sedan,"Category
PARF Car, Premium Ad Car "
4942,Volkswagen Golf R 5DR Sunroof (New 10-yr COE),info.php?ID=946619&DL=2203,"$105,888 ","                                $10,580 /yr                            ",12-Apr-2012(10yrs  COE left)                            ,"                                        120,000 km (13.8k /yr)                                     ","                                    	$1,194 /yr",N.A.,"1,984 cc                                    ","                                    1,466 kg                                    ",2012,Auto,"$41,005",188.0 kW (252 bhp),3,Sports Car,"Category
COE Car "
4943,Honda Fit 1.3A,info.php?ID=934558&DL=2126,"$76,800 ","                                $7,460 /yrView models with similar depre ",08-Oct-2020(9yrs 9mths 21days COE left)                            ,                                        19 km                                     ,                                    	$578 /yr,"$36,534","1,317 cc                                    ","                                    1,070 kg                                    ",2020,Auto,"$17,110",72.0  kW  (96  bhp),1,Hatchback,"Category
PARF Car, Almost New Car, Low Mileage Car "
4944,Kia Picanto 1.1M (COE till 05/2023),info.php?ID=951221&DL=2741,N.A ,                                N.A                            ,23-May-2008(2yrs 5mths 6days COE left)                            ,                                        N.A.                                     ,                                    	$575 /yr,"$19,096","1,086 cc                                    ",                                    852 kg                                    ,2008,Manual,"$6,833",47.1 kW (63 bhp),5,Hatchback,"Category
COE Car, Low Mileage Car "
4945,Mercedes-Benz E-Class E200,info.php?ID=948670&DL=1229,"$75,800 ","                                $14,930 /yrView models with similar depre ",19-Jun-2014(3yrs 6mths 2days COE left)                            ,"                                        115,078 km (17.7k /yr)                                     ","                                    	$1,202 /yr","$68,103","1,991 cc                                    ","                                    1,655 kg                                    ",2014,Auto,"$42,793",135.0 kW (181 bhp),2,Luxury Sedan,"Category
PARF Car "
4946,Toyota Rush 1.5A (COE till 03/2022),info.php?ID=941671&DL=3287,"$13,800 ","                                $11,070 /yr                            ",17-Mar-2007(1yr 3mths  COE left)                            ,"                                        130,000 km (9.4k /yr)                                     ",                                    	$955 /yr,"$24,715","1,495 cc                                    ","                                    1,150 kg                                    ",2006,Auto,"$16,588",80.0 kW (107 bhp),2,SUV,"Category
COE Car, Low Mileage Car "
4947,BMW X5 xDrive35i Sunroof (New 10-yr COE),info.php?ID=920300&DL=2900,"$103,500 ","                                $10,340 /yr                            ",28-Sep-2011(10yrs  COE left)                            ,"                                        113,000 km (12.2k /yr)                                     ","                                    	$2,362 /yr",N.A.,"2,979 cc                                    ","                                    2,070 kg                                    ",2011,Auto,"$71,602",225.0 kW (301 bhp),2,SUV,"Category
COE Car "
4948,Audi Q5 2.0A TFSI Quattro,info.php?ID=951238&DL=1089,"$88,800 ","                                $15,620 /yrView models with similar depre ",20-Nov-2014(3yrs 11mths 3days COE left)                            ,"                                        50,000 km (8.2k /yr)                                     ","                                    	$1,194 /yr","$72,890","1,984 cc                                    ","                                    1,830 kg                                    ",2014,Auto,"$44,917",165.0 kW (221 bhp),3,SUV,"Category
PARF Car, Low Mileage Car "
4949,BMW 2 Series 216d Active Tourer,info.php?ID=951232&DL=2356,"$95,000 ","                                $12,700 /yrView models with similar depre ",26-Jul-2017(6yrs 7mths 9days COE left)                            ,                                        N.A.                                     ,"                                    	$1,082 /yr","$42,801","1,496 cc                                    ","                                    1,395 kg                                    ",2017,Auto,"$28,674",85.0 kW (113 bhp),1,Hatchback,"Category
PARF Car, Premium Ad Car "
4950,Toyota Camry 2.5A,info.php?ID=942706&DL=3287,"$68,500 ","                                $9,830 /yrView models with similar depre ",01-Apr-2016(5yrs 3mths 15days COE left)                            ,"                                        120,000 km (25.5k /yr)                                     ","                                    	$1,792 /yr","$47,604","2,494 cc                                    ","                                    1,475 kg                                    ",2016,Auto,"$29,296",133.0 kW (178 bhp),1,Luxury Sedan,"Category
PARF Car "
4951,Volkswagen Jetta GP 1.4A TSI Highline,info.php?ID=942592&DL=3287,"$53,300 ","                                $8,310 /yrView models with similar depre ",14-Jan-2016(5yrs 28days COE left)                            ,"                                        100,000 km (20.3k /yr)                                     ",                                    	$620 /yr,"$45,002","1,390 cc                                    ","                                    1,417 kg                                    ",2015,Auto,"$21,584",90.0 kW (120 bhp),1,Mid-Sized Sedan,"Category
PARF Car "
4952,Mercedes-Benz E-Class E200 CGI (COE till 10/2030),info.php?ID=938826&DL=2952,N.A ,                                N.A                            ,29-Dec-2010(9yrs 10mths 12days COE left)                            ,                                        N.A.                                     ,                                    	$974 /yr,"$38,216","1,796 cc                                    ","                                    1,615 kg                                    ",2010,Auto,"$53,923",135.0 kW (181 bhp),3,Luxury Sedan,"Category
COE Car "
4953,Renault Grand Scenic Diesel 1.5A dCi BOSE Edition Sunroof,info.php?ID=951255&DL=3416,"$113,500 ","                                $11,760 /yrView models with similar depre ",15-Oct-2019(8yrs 9mths 28days COE left)                            ,"                                        13,702 km (11.7k /yr)                                     ","                                    	$1,048 /yr","$31,759","1,461 cc                                    ","                                    1,540 kg                                    ",2019,Auto,"$26,585",81.0 kW (108 bhp),1,MPV,"Category
PARF Car "
4954,MINI Cooper 1.5A 5DR,info.php?ID=951235&DL=3321,"$115,800 ","                                $12,590 /yrView models with similar depre ",26-Nov-2018(7yrs 11mths 9days COE left)                            ,"                                        19,000 km (9.2k /yr)                                     ",                                    	$684 /yr,"$32,900","1,499 cc                                    ","                                    1,220 kg                                    ",2018,Auto,"$28,178",100.0 kW (134 bhp),2,Hatchback,"Category
PARF Car, Low Mileage Car "
4955,Porsche Cayman 2.7A Tip (COE till 01/2027),info.php?ID=951102&DL=2678,"$101,800 ","                                $16,630 /yr                            ",30-Jan-2007(6yrs 1mth 13days COE left)                            ,                                        N.A.                                     ,"                                    	$2,825 /yr","$52,660","2,687 cc                                    ","                                    1,435 kg                                    ",2006,Auto,"$76,123",180.0 kW (241 bhp),1,Sports Car,"Category
COE Car, Premium Ad Car "
4956,Volkswagen Touran 1.4A TSI,info.php?ID=949936&DL=2702,"$29,000 ","                                $9,620 /yrView models with similar depre ",02-Nov-2012(1yr 10mths 16days COE left)                            ,                                        N.A.                                     ,                                    	$620 /yr,"$63,000","1,390 cc                                    ","                                    1,536 kg                                    ",2012,Auto,"$21,899",103.0 kW (138 bhp),3,MPV,"Category
PARF Car "
4957,Mercedes-Benz CLA-Class CLA200 AMG Line Premium Plus,info.php?ID=926736&DL=3287,"$164,200 ","                                $14,940 /yrView models with similar depre ",20-Mar-2020(9yrs 3mths 3days COE left)                            ,"                                        5,000 km                                     ",                                    	$586 /yr,"$30,012","1,332 cc                                    ","                                    1,420 kg                                    ",2019,Auto,"$42,653",120.0 kW (160 bhp),1,Luxury Sedan,"Category
PARF Car, Almost New Car, Low Mileage Car "
4958,Nissan Qashqai 2.0A Premium Moonroof,info.php?ID=951254&DL=2291,N.A ,                                N.A                            ,31-Oct-2015(4yrs 10mths 14days COE left)                            ,                                        N.A.                                     ,"                                    	$1,210 /yr","$58,801","1,997 cc                                    ","                                    1,379 kg                                    ",2015,Auto,"$19,333",106.0 kW (142 bhp),2,SUV,"Category
PARF Car "
4959,BMW 2 Series 218i Gran Coupe Luxury,info.php?ID=951229&DL=2023,N.A ,                                N.A                            ,30-Nov-2020(9yrs 11mths 13days COE left)                            ,                                        N.A.                                     ,                                    	$684 /yr,"$41,503","1,499 cc                                    ","                                    1,375 kg                                    ",2020,Auto,"$35,546",103.0 kW (138 bhp),1,Luxury Sedan,"Category
PARF Car, Almost New Car "
4960,Chevrolet Cruze 1.6A,info.php?ID=951227&DL=2341,"$42,800 ","                                $6,750 /yrView models with similar depre ",31-Mar-2016(5yrs 3mths 14days COE left)                            ,"                                        79,500 km (16.9k /yr)                                     ",                                    	$742 /yr,"$45,504","1,598 cc                                    ","                                    1,413 kg                                    ",2016,Auto,"$14,203",86.0 kW (115 bhp),1,Mid-Sized Sedan,"Category
PARF Car "
4961,Toyota Wish 1.8A (COE till 05/2021),info.php?ID=941760&DL=3008,N.A ,                                N.A                            ,17-May-2006(5mths  COE left)                            ,                                        N.A.                                     ,"                                    	$1,458 /yr","$23,024","1,794 cc                                    ","                                    1,300 kg                                    ",2005,Auto,"$20,685",97.0 kW (130 bhp),4,MPV,"Category
COE Car "
4962,Hyundai Accent 1.4A,info.php?ID=940026&DL=2904,"$63,800 ","                                $6,960 /yrView models with similar depre ",20-Jun-2019(8yrs 6mths 3days COE left)                            ,"                                        21,289 km (14.3k /yr)                                     ",                                    	$608 /yr,"$30,009","1,368 cc                                    ","                                    1,115 kg                                    ",2019,Auto,"$9,122",73.6 kW (98 bhp),1,Mid-Sized Sedan,"Category
PARF Car, Premium Ad Car "
4963,Toyota Wish 1.8A Sunroof (COE till 05/2026),info.php?ID=923411&DL=1187,"$34,777 ","                                $6,370 /yr                            ",23-Jun-2006(5yrs 5mths 15days COE left)                            ,                                        N.A.                                     ,"                                    	$1,458 /yr","$46,048","1,794 cc                                    ","                                    1,320 kg                                    ",2006,Auto,"$22,512",97.0 kW (130 bhp),6,MPV,"Category
COE Car "
4964,Volkswagen Passat 1.8A TSI Highline,info.php?ID=915547&DL=2855,N.A ,                                N.A                            ,08-Jun-2016(5yrs 5mths 22days COE left)                            ,                                        N.A.                                     ,                                    	$976 /yr,"$51,010","1,798 cc                                    ","                                    1,480 kg                                    ",2016,Auto,"$31,404",132.0 kW (177 bhp),1,Luxury Sedan,"Category
PARF Car "
4965,Toyota Corolla Altis 1.6A Elegance,info.php?ID=951224&DL=1053,"$58,800 ","                                $9,170 /yrView models with similar depre ",21-Apr-2016(5yrs 4mths 4days COE left)                            ,"                                        86,500 km (18.6k /yr)                                     ",                                    	$742 /yr,"$46,009","1,598 cc                                    ","                                    1,205 kg                                    ",2015,Auto,"$19,589",90.0 kW (120 bhp),2,Mid-Sized Sedan,"Category
PARF Car "
4966,Toyota Camry 2.0A,info.php?ID=946302&DL=1195,N.A ,                                N.A                            ,20-Jun-2016(5yrs 6mths 3days COE left)                            ,                                        N.A.                                     ,"                                    	$1,210 /yr","$49,156","1,998 cc                                    ","                                    1,480 kg                                    ",2016,Auto,"$28,695",123.0 kW (164 bhp),1,Luxury Sedan,"Category
PARF Car, Premium Ad Car "
4967,Mercedes-Benz C-Class C180K (New 10-yr COE),info.php?ID=942686&DL=2900,"$72,500 ","                                $7,250 /yr                            ",27-Jun-2011(10yrs  COE left)                            ,"                                        110,000 km (11.6k /yr)                                     ",                                    	$742 /yr,N.A.,"1,597 cc                                    ","                                    1,500 kg                                    ",2011,Auto,"$31,019",115.0 kW (154 bhp),1,Luxury Sedan,"Category
COE Car "
4968,Volkswagen Scirocco 1.4A TSI (New 5-yr COE),info.php?ID=933016&DL=1045,"$39,800 ","                                $7,960 /yr                            ",05-May-2011(5yrs  COE left)                            ,"                                        152,300 km (15.8k /yr)                                     ",                                    	$620 /yr,N.A.,"1,390 cc                                    ","                                    1,285 kg                                    ",2011,Auto,"$25,719",118.0 kW (158 bhp),3,Sports Car,"Category
COE Car "
4969,Honda Shuttle Hybrid 1.5A,info.php?ID=951211&DL=1249,"$77,999 ","                                $8,710 /yrView models with similar depre ",28-Jan-2019(8yrs 1mth 11days COE left)                            ,                                        N.A.                                     ,                                    	$682 /yr,"$33,989","1,496 cc                                    ","                                    1,190 kg                                    ",2018,Auto,"$23,233",101.0 kW (135 bhp),1,Stationwagon,"Category
PARF Car, Hybrid Cars "
4970,Suzuki Swift 1.5A (COE till 03/2024),info.php?ID=951190&DL=1000,"$24,000 ","                                $7,320 /yr                            ",27-Mar-2009(3yrs 3mths 10days COE left)                            ,"                                        152,000 km (13k /yr)                                     ",                                    	$816 /yr,"$12,763","1,490 cc                                    ","                                    1,060 kg                                    ",2009,Auto,"$14,087",74.0 kW (99 bhp),4,Hatchback,"Category
COE Car, Direct Owner Sale "
4971,Mercedes-Benz E-Class E250 CGI Elegance (COE till 04/2030),info.php?ID=951246&DL=2495,"$74,999 ","                                $8,010 /yr                            ",26-Apr-2010(9yrs 4mths 9days COE left)                            ,"                                        139,000 km (13.1k /yr)                                     ","                                    	$1,071 /yr","$33,568","1,796 cc                                    ","                                    1,650 kg                                    ",2010,Auto,"$54,780",150.0 kW (201 bhp),1,Luxury Sedan,"Category
COE Car "
4972,Toyota Sienta 1.5A X,info.php?ID=951216&DL=3397,"$48,000 ","                                $7,970 /yrView models with similar depre ",20-May-2016(5yrs 5mths 3days COE left)                            ,"                                        60,000 km (13.1k /yr)                                     ",                                    	$682 /yr,"$47,889","1,496 cc                                    ","                                    1,320 kg                                    ",2015,Auto,"$19,507",80.0 kW (107 bhp),2,MPV,"Category
PARF Car "
4973,Toyota Corolla Altis 1.6A (COE till 08/2023),info.php?ID=951183&DL=2199,"$24,800 ","                                $9,330 /yr                            ",14-Aug-2008(2yrs 7mths 28days COE left)                            ,"                                        136,000 km (11k /yr)                                     ",                                    	$965 /yr,"$17,099","1,598 cc                                    ","                                    1,195 kg                                    ",2008,Auto,"$16,777",80.0 kW (107 bhp),2,Mid-Sized Sedan,"Category
COE Car "
4974,Jaguar E-PACE 2.0A Prestige,info.php?ID=951173&DL=1000,N.A ,                                N.A                            ,28-May-2019(8yrs 5mths 11days COE left)                            ,                                        N.A.                                     ,"                                    	$1,210 /yr","$42,564","1,997 cc                                    ","                                    1,867 kg                                    ",2019,Auto,"$34,023",183.0 kW (245 bhp),1,SUV,"Category
PARF Car, Direct Owner Sale "
4975,Hyundai Accent 1.4A,info.php?ID=951168&DL=1000,"$55,800 ","                                $6,980 /yrView models with similar depre ",23-May-2018(7yrs 5mths 6days COE left)                            ,"                                        37,050 km (14.4k /yr)                                     ",                                    	$608 /yr,"$38,510","1,368 cc                                    ","                                    1,115 kg                                    ",2018,Auto,"$7,785",73.6 kW (98 bhp),1,Mid-Sized Sedan,"Category
PARF Car, Direct Owner Sale "
